Name,Ticker,Sub-Sector,Market Cap,Debt to Equity,Long Term Debt to Equity,Cash Conversion Cycle,Quick Ratio,Current Ratio,Interest Coverage Ratio,Working Capital Turnover Ratio,Net Income / Liabilities,Earning Power
Keltech Energies Ltd,KELENRG,Commodity Chemicals,372.695,25.19083969,5.805544395,18.18206502,1.005921472,1.320488294,6.801781737,15.05983756,15.77322937,13.71474762
South West Pinnacle Exploration Ltd,SOUTHWEST,Mining - Diversified,372.0506016,76.26337449,22.58436214,,1.17528032,1.734888517,2.256912442,2.430624556,7.28955487,8.337944243
Sunita Tools Ltd,SUNITATOOL,Industrial Machinery & Supplies & Components,371.25,30.58915334,17.08934842,373.4364896,2.156839623,3.60259434,6.159663866,1.790190736,37.71384137,19.04390751
Kerala Ayurveda Ltd,KERALAYUR,Pharmaceuticals,370.6596531,192.3711927,169.1147168,,1.103192279,1.486760703,1.276824034,97.20179372,,4.229156301
Exxaro Tiles Ltd,EXXARO,Building Products - Ceramics,369.7402025,35.21483034,7.736783146,,0.755183234,1.624285554,1.223628692,2.849160964,1.06388054,3.577743965
Ajanta Soya Ltd,AJANTSOY,Agro Products,369.5778901,0.244835501,0,,0.802648332,2.02610135,2.177419355,12.61078503,4.6875,4.36570267
Shyam Century Ferrous Ltd,SHYAMCENT,Iron & Steel,368.7566566,1.631210073,0.589220368,236.1180856,6.699363057,8.822292994,5.517241379,1.121902723,3.988919668,0.892458724
Remedium Lifecare Ltd,REMLIFE,Pharmaceuticals,367.7184,134.310987,0,,0.952571183,1.022509659,11.55439331,152.8801505,1.718155332,2.835346602
Tirupati Forge Ltd,TIRUPATIFL,Auto Parts,367.206,27.86975717,6.374172185,125.3493711,1.462686567,2.717203456,7.772727273,6.12196468,44.21542553,20.00780031
IL&FS Investment Managers Ltd,IVC,Asset Management,367.1042731,0,0,,9.615740741,9.615740741,,0.388194039,37.15545755,6.255262841
Mahindra EPC Irrigation Ltd,MAHEPC,Agricultural & Farm Machinery,366.7759278,9.620038722,0.193610842,158.2420593,1.861114163,2.349631909,1.896678967,2.30898339,1.818973968,1.999299856
Fredun Pharmaceuticals Ltd,FREDUN,Pharmaceuticals,366.7550959,89.78003735,50.76779415,187.3275599,0.622492229,2.036450975,2.571428571,3.695231038,9.708496488,13.64325417
K M Sugar Mills Ltd,KMSUGAR,Sugar,366.4366771,96.01596253,9.254312193,187.3245413,0.138245243,1.021813663,3.364570738,51.68090062,5.901012562,7.14166549
Naga Dhunseri Group Ltd,NDGL,Investment Banking & Brokerage,365.945,0,0,,2.26459144,2.26459144,,8.865771812,179.0894653,4.150470078
Sanjivani Paranteral Ltd,SANJIVIN,Pharmaceuticals,365.484904,3.476702509,3.476702509,7.908279298,1.371552975,2.077648766,31.32,253.0638298,39.83214977,18.04563263
India Finsec Ltd,IFINSEC,Diversified Financials,364.149039,167.9501283,167.9501283,,1.351375333,1.351375333,,13.74919614,3.938910886,5.300609455
Welspun Investments and Commercials Ltd,WELINV,Diversified Financials,363.3280039,0,0,,8.333333333,8.333333333,,11.01333333,7.795849692,0.754013297
Coastal Corporation Ltd,COASTCORP,Packaged Foods & Meats,362.8815007,71.84422378,11.33178047,,0.568740867,1.275511447,1.516634051,9.807023374,2.271468144,5.245228534
Kanoria Energy & Infrastructure Limited,KEIL,Building Products,361.8061188,120.3625502,23.93655371,,0.310032118,1.226084766,1.815158546,9.561917808,3.919121318,7.891993678
Byke Hospitality Ltd,BYKE,"Hotels, Resorts & Cruise Lines",359.8907012,29.18049022,22.748205,505.5062516,3.342207432,4.263449806,1.4781491,2.27104175,8.737264588,4.311476024
Madhuveer Com 18 Network Ltd,MADHUVEER,Movies & TV Serials,359.86629,0,0,,291,291,75,1.194132873,7766.666667,44.05286344
Sayaji Hotels (Indore) Ltd,SHILINDORE,,359.8040505,80.36126057,38.87394312,,0.256213018,0.380177515,3.16744186,-5.646131387,11.97194857,12.16831949
Shreyans Industries Ltd,SHREYANIND,Paper Products,359.1735,8.891500196,1.195978587,21.74431551,2.055460485,2.458462974,27.99764706,4.847154364,49.37030553,21.24745545
Winsol Engineers Ltd,WINSOL,Construction & Engineering,359.148452,121.1670481,32.15102975,,1.555289898,1.563658099,15.75949367,11.97136038,43.86673397,43.60770578
Variman Global Enterprises Ltd,VARIMAN,Technology Distributors,358.612783,70.55788455,42.79264753,,1.826470588,2.404621849,1.509803922,4.06291903,2.860035434,6.551332955
Surani Steel Tubes Ltd,SURANI,Building Products - Pipes,358.389216,49.73661106,0,,1.070752089,2.035654596,6.454545455,9.903461416,2.632993015,1.715390191
Sintercom India Ltd,SINTERCOM,Industrial Machinery,358.2195477,33.24410073,11.20364862,,0.659743143,1.378785476,1.423423423,4.331935882,1.461325271,3.506435863
Multibase India Ltd,MULTIBASE,Specialty Chemicals,357.9032,0,0,,15.70496084,17.24281984,126,0.601642881,113.0699088,10.4680144
Kalyani Cast-Tech Ltd,KALYANI,Industrial Machinery & Supplies & Components,357.7684125,15.14853433,0,,3.093040293,4.168498168,63.71428571,3.554559043,69.73875181,20.7088686
VIP Clothing Ltd,VIPCLOTHNG,Apparel & Accessories,357.3125412,58.20863153,5.841104605,,0.634573495,1.35592925,-0.773377338,3.618831872,,
Murudeshwar Ceramics Ltd,MURUDCERA,Building Products - Ceramics,356.7326719,30.17974884,12.31703647,,0.406408094,1.382883642,2.039855072,4.55740055,2.798425885,4.10596751
Rudrabhishek Enterprises Ltd,REPL,Real Estate,356.527115,8.207325948,0.347699523,185.4298221,2.916321295,2.916321295,8.256704981,1.146496101,26.91348552,12.25824801
Refex Renewables & Infrastructure Ltd,REFEXRENEW,Electrical Components & Equipment,356.49806,899.0868649,828.0496371,,0.438145695,0.446622517,0.800143781,-4.427664079,,6.559921415
